iter	Passed	Remaining
1366	9009	56897
1367	9016	56890
1368	9021	56877
1369	9027	56867
1370	9033	56854
1371	9039	56845
1372	9044	56832
1373	9050	56819
1374	9056	56806
1375	9066	56824
1376	9077	56847
1377	9088	56863
1378	9093	56852
1379	9099	56840
1380	9104	56824
1381	9110	56812
1382	9116	56801
1383	9121	56787
1384	9127	56776
1385	9133	56765
1386	9139	56753
1387	9145	56741
1388	9150	56727
1389	9156	56714
1390	9161	56702
1391	9167	56688
1392	9172	56675
1393	9177	56661
1394	9183	56646
1395	9188	56631
1396	9193	56617
1397	9199	56603
1398	9204	56587
1399	9209	56574
1400	9214	56557
1401	9220	56545
1402	9225	56532
1403	9231	56518
1404	9236	56503
1405	9241	56487
1406	9246	56472
1407	9252	56461
1408	9257	56448
1409	9262	56431
1410	9269	56427
1411	9276	56422
1412	9282	56412
1413	9288	56403
1414	9294	56390
1415	9300	56379
1416	9306	56369
1417	9314	56372
1418	9321	56372
1419	9329	56370
1420	9340	56391
1421	9346	56379
1422	9351	56367
1423	9357	56353
1424	9362	56338
1425	9367	56323
1426	9372	56309
1427	9378	56297
1428	9383	56282
1429	9389	56270
1430	9394	56256
1431	9399	56241
1432	9405	56229
1433	9411	56218
1434	9417	56207
1435	9423	56197
1436	9434	56221
1437	9441	56213
1438	9447	56203
1439	9454	56201
1440	9463	56212
1441	9469	56201
1442	9476	56194
1443	9481	56182
1444	9487	56167
1445	9493	56157
1446	9497	56140
1447	9503	56128
1448	9509	56116
1449	9514	56101
1450	9519	56085
1451	9525	56076
1452	9531	56064
1453	9536	56052
1454	9542	56042
1455	9548	56031
1456	10029	58806
1457	10051	58888
1458	10108	59172
1459	10117	59181
1460	10126	59183
1461	10135	59192
1462	10143	59188
1463	10150	59184
1464	10158	59180
1465	10165	59177
1466	10177	59199
1467	10185	59200
1468	10193	59195
1469	10202	59204
1470	10211	59207
1471	10222	59225
1472	10229	59217
1473	10235	59206
1474	10241	59194
1475	10247	59182
1476	10254	59170
1477	10260	59161
1478	10266	59148
